producer_id,location_x,location_y,target_volume,current_volume,min_dimensions_x,min_dimensions_y,max_dimensions_x,max_dimensions_y,can_bend,can_deburr,can_galvanize,acceptance_rate
1,29,62,42230,10956,5,9,26,36,1,1,1,0.787485607346771
2,56,17,38240,19225,7,2,23,49,1,1,1,0.6290887398022932
3,87,66,55207,19882,5,4,33,30,0,1,1,0.644057689203179
4,18,6,42320,8556,2,3,23,39,1,1,1,0.6440542767765306
5,8,72,47731,33055,3,9,43,23,0,1,1,0.4959638641441873
6,25,83,48809,30270,3,6,47,20,0,1,1,0.4446875833203038
7,55,38,36277,12357,10,2,23,42,0,1,1,0.5210946597741384
8,64,10,47022,39159,1,5,29,20,1,1,1,0.8613968704639412
9,28,58,31336,31077,5,9,28,24,0,0,1,0.32440387364482715
10,80,8,40703,40382,10,10,30,42,0,1,1,0.6008150128176271
11,94,49,50250,25271,5,2,49,35,1,1,1,0.3120188840206978
12,88,43,32861,42679,10,6,36,31,0,1,1,0.863157964560888
13,5,29,30637,33675,5,2,23,46,0,1,1,0.35812448745339975
14,34,18,55932,4054,1,10,35,31,1,0,0,0.6815545103290389
15,70,81,39304,41559,1,7,40,28,0,1,1,0.8776486977334731
16,39,72,31815,4749,10,9,35,31,1,1,1,0.5796067912371679
17,39,61,54762,1859,3,4,41,42,1,0,0,0.6407185415955511
18,70,43,42448,38466,4,4,49,42,1,1,1,0.8604129228717982
19,91,67,41494,2937,7,10,30,36,1,1,1,0.8229171356858438
20,17,24,57839,16566,1,8,33,44,1,1,1,0.656409312653476
